"Probe"	"Gene_body_meth"	"Promoter_meth"
"1810046J19Rik"	30.996874	1.3975967
"1810046K07Rik"	3.0538	4.2281747
"1810048J11Rik"	85.32138	0.084745765
"1810049H13Rik"	16.691986	18.592733
"1810055G02Rik"	75.21751	0.58810085
"1810058I24Rik"	67.52959	0.6568877
"1810058N05Rik"	65.638885	80.01553
"1810059C17Rik"	30.566782	0.6392107
"1810059H22Rik"	1.9340645	3.2627878
"1810062G17Rik"	66.35756	4.8857946
"1810062O18Rik"	71.80076	5.905222
"1810063B05Rik"	20.759823	4.32684
"1810063B07Rik"	46.129322	0.39364135
"1810063I02Rik"	0	0.76719576
"1810065E05Rik"	3.1482055	3.9555216
"1810074P20Rik"	81.99983	0.465368
"2010001A14Rik"	2.703705	1.6080683
"2010001E11Rik"	1.7474177	0.85275245
"2010001M06Rik"	92.48788	64.457214
"2010001M09Rik"	4.8118067	1.8646612
"2010002M12Rik"	87.07883	46.467552
"2010002N04Rik"	1.9490539	3.010913
"2010003K11Rik"	1.5277778	1.7746401
"2010003O02Rik"	23.383665	4.3401747
"2010005H15Rik"	92.033035	87.87546
"2010007H12Rik"	6.179161	1.3989271
"2010011I20Rik"	20.322964	0.46054643
"2010012O05Rik"	68.89147	0.836784
"2010012P19Rik"	41.543976	18.16458
"2010013B24Rik"	3.2745419	0.64231914
"2010015L04Rik"	3.0017555	1.3194444
"2010015M23Rik"	34.623688	3.4666042
"2010016I18Rik"	1.0408164	5.0129676
"2010106E10Rik"	28.23884	1.6666666
"2010106G01Rik"	86.97776	4.238143
"2010107E04Rik"	22.442978	1.7799072
"2010107G12Rik"	3.3470614	0.4791667
"2010107G23Rik"	83.23076	0.5393218
"2010107H07Rik"	77.077286	0.2614573
"2010109A12Rik"	37.58985	2.0289707
"2010109I03Rik"	2.4692042	11.511717
"2010109K11Rik"	7.1378794	1.7710623
"2010110K18Rik"	24.833136	3.5701756
"2010110P09Rik"	95.617516	97.00178
"2010111I01Rik"	83.88778	74.24625
"2010204K13Rik"	22.838345	81.48689
"2010300C02Rik"	5.2044907	1.0095714
"2010300F17Rik"	96.00197	97.43709
"2010305A19Rik"	80.684296	1.0557517
"2010317E24Rik"	20.20576	1.754386
"2010320O07Rik"	1.2039572	0.16420363
"2010321M09Rik"	78.804405	0.85107815
"2200002D01Rik"	92.2629	94.44121
"2200002J24Rik"	3.4837964	1.5376985
"2200002K05Rik"	68.066025	3.6565802
"2210008F06Rik"	0.7796699	1.9014745
"2210009G21Rik"	84.52557	6.539726
"2210010C04Rik"	7.0618463	-1
"2210010C17Rik"	94.55094	72.72031
"2210011C24Rik"	3.010447	0.62013125
"2210012G02Rik"	76.459656	8.387713
"2210013O21Rik"	75.33101	0.7936508
"2210015D19Rik"	52.522724	15.768895
"2210016F16Rik"	42.727898	1.0845093
"2210016L21Rik"	45.107433	0.7151684
"2210018M11Rik"	79.58753	7.6922326
"2210019I11Rik"	79.33371	0.89966327
"2210020M01Rik"	95.87244	95.6739
"2210021J22Rik"	51.278107	0.45454547
"2210403K04Rik"	41.988235	1.1682806
"2210404J11Rik"	97.452835	4
